,description,work
985,alif.  From the LP Seven Souls [see below] voice and incorporates excerpts from The Western Lands.,E55
986,". Hallucination Engine. New York: Axiom; distributed by Island Records, 1994  (314-518 351-2). Compact disc.  Lyrics and vocals by Burroughs on",E56
987,". The Road to the Western Lands. New York: Triloka Records, 1998; manufactured and marketed by Mercury Records (314-558 021-  ... a collection of radical mix translations Seven Souls.  This work revolves around the words and voice of the late William S. Burroughs ...Verso of LP jacket. 1. [Promotional Poster]. [New York]: Triloka Records, 1998].  116",E57
988,". Seven Souls.   Features Burroughs voice and incorporates excerpts from The Western Lands. A.  B. Beverly Hills, Calif.: Virgin Records America, 1989 (2-91360). Compact disc. C. New York: Triloka Records, 1997; manufactured and marketed by Mercury Records (314 534 905 2). Compact disc.  Includes three tracks not included in Virgin Records release, above.",E58
989,"-40677-2). Compact disc in digipack.  Text and spoken word by Burroughs.  According to BeatBooks 65, this video was created by Peter Christopherson and Jhon Balance of Coil.  Painting on Jacket (inside and out): Last Chance Junction and Curse on Drug Hysterics by Burroughs.",E59
990,©1993 (9362-41269-2).  Compact disc.  Text and spoken word by Burrou  Painting on verso of insert: Last Chance Junction and Curse on Drug Hysterics by Burroughs.,E60
991,"The Mortal Micronotz. The Mortal Micronotz. Lawrence, Kansas.: Fresh Sounds, 1982 (FS201).   record, with insert.  The Mortal Micronotz Tribute, below.]",E61
992,"Pittis, Steve. Dedicated to William S. Burroughs. [London]: Dressed To Kill; distributed by BMG, 2000 (METRO 421). Compact disc with folded insert.  Insert, verso.",E62
993,"Poe, Edgar Allan. The Masque of the Red Death. Read by William S. Burroughs. [N.p.]: Inscape, 1995. Compact disc. [See also Section G below.]  ... excerpted from The Dark Eye, a CD-",E63
994,"Shore, Howard. Naked Lunch: Music from the Original Soundtrack. With Ornette Coleman. [N.p.]: Milan America, 1992; manufactured and distributed by BMG Music (73138-35614-2). Compact disc.",E64
995,"Spring Heel Jack. Oddities. New York: Thirsty Ear Recordings, 2000 (THI 57086-2). Compact disc.  Lyrics and spoken word by Burrougern L",E65
996,"with illustrated inner sleeve and full-size folded insert.   Edition limited to 380 copies.  éwork with the same title is also reproduced on this LP Alga Marghen press release, taken from ForcedExposure.com.  Insert reproduces ...Takis (Galleria Schwarz, 1962).   117",E66
997,"Trischka, Tony. World Turning. Cambridge, Mass.: Rounder Records, 1993 (CD 0294). Compact disc with insert (folded four times to make 10 panels (5 on each side).    introduction to the Briggs book [Briggs Banjo Instructor (1855)], Panel 3, recto.",E67
998,"TVO. Red Night. [Glasgow, Scotland]: Broken60, 2012 (BK60_02). Cassette tape with inserts.   Limited to 100 numbered copies.  Laid-in card.  -, features Burroughs reading.",E68
999,"TVO/Jacketed in Sand. Red Night Variations. [Glasgow, Scotland]: Broken20, [2103]. A. Compact disc.  Cities of the Red Night,  the reworks inhabit an ambivalent eigenstate, placed somewhere between drone texture, techno meter,  industrial clathttp://store.broken20.com/album/red-night-variations (accessed 2015.10.04) B. (BK60_02.5). Cassette tape with inserts.  Limited to 100 numbered copies.",E69
1000,"Various Artists. 10%: File Under Burroughs. With the Master Musicians of Joujouka et al.      The Here To Go Show Booklet, [p. 3]    A. Brussels: Sub Rosa, 1996 (SR 93). Two compact discs, with booklet (blue banner). B. Brussels: Sub Rosa, 1996; manufactured and distributed by Dutch East India Trading  (DE 12040-2). Two compact discs, with booklet (green banner).",E70
1001,". An Anthology of Noise and Electronic Music. Vol. 4: A Chronology, 19372005. Curated by Guy Marc Hinant. With Halim el-Dabh et al. Brussels: Sub Rosa, [2005?] (SR 250). Two compact discs, with booklet.    ... a study in sound based on cassettes on which radio news flashes and TV movies had been recorded . .realized in 1971 ...",E71
1002,". Archive I. With Stilluppsteypa et al. [Berlin]: 90% Wasser, [2005] (WCD 005). Compact disc.",E72
1003,". The Beat Generation Sampler. With Jack Kerouac et al. Santa Monica, Calif.: Rhino Records, 1992 (PRO4 90133). Cassette tape.  Naked Lunch",E73
1004,". Big Hard Disk, Vol. 2. With Sheep on Drugs et al. New York: Smash Records, 1994; distributed by I.L.S. (162-448-008-2). Compact disc.     118",E74
1005,". Cash Cow: The Best of Giorno Poetry Systems, 19651993. With Cabaret Voltaire et al. New York: Giorno Poetry Systems, 1993 (ESD 80712). Compact disc.    (Los Angeles, May 9, 1981)  Naked Lunch: The Laboratory Has Been Locked for Three  (Copenhagen, October 29, 1983)",E75
1006,". . Produced by Emanuele Carcano and Henri Chopin. (Avant Marghen; Vol. 3) [Italy]: Alga Marghen, 2007 [(Alga 022)]. 7 LP records in a box (the first 5 of which are picture discs).  Limited to 80 numbered copies.  sic] than 40 copies of each title), the single picture LPs of the Revue OU series. The picture LPs are the same pressing as the one included in the Avant Marghen Vol. 3 boxset, but they Downtown Music Gallery website, accessed 25 March 2016. http://search2.downtownmusicgallery.com/lookup.cgi?item=2015_08_10_13_05_50   sicLP 4, OU 40-41).   LP 5, OU 42-43-44).",E76
1007,". Cough It Up: The Hairball Story. With Priss et al.  [Portland, Ore.]: Tim/Kerr Records, 1995.    (Terra Nova Books, Lawrence, Kansas, 1995) A. (TK 94CD092). Compact disc. B. (TK 94CD092). Advance cassette.",E77
1008,".The Daily Planet.  Recorded on the occasion of the 1977 publication of the unexpurgated edition of Junkie.  which he speaks for roughly 5 minutes per episode about heroin and the heroin industry, with backing music  A. Editions 409-New York?], 1977. 12 B. -",E78
1009,. Decoder Soundtrack Jacket.  -Orridge includes lyrics excerpted from Nothing Here Now But the Recordings  [see above].,E79
1010,". ESP Sampler. With Pearls Before Swine, etc. New York: ESP, [1967] record with insert that continues track listing from jacket verso. {Referenced in M&M G1b}  Naked Lunch and Nova Express  by the famed authorInsert.",E80
1011,". Expand-o. With The Posies, etc. (CD Tune Up; No. 6). [N.p.]: The Album Network, 1990. Compact disc.      119",E81
1012,". First Thought, Best Thought. With Diane diPrima, etc. Boulder, Colorado: Sounds True, 2004 (W 823 D). 4 compact discs in disc folio and box.    The Cut-",E82
1013,". Fresh Sounds from Middle America, No. 5. With Homestead Grays, etc. Lawrence, Kansas: Fresh Sounds, 1990 (FS 221). Compact disc.",E83
1014,".The Fruit of the Original Sin. With Peter Gordon et al. [Brussels]: Les Disques du Crépuscule, Jacket, with insert.   (Keystone Corner, San Francisco; 16 May 1981)",E84
1015,". F*ck Dance: This Is Art. With Marc Ribot et al. New York: Island Records, 1990  (PR 6638-cord; compact disc.  Excerpts from Dead City Radio:       ...",E85
1016,". Hashisheen: The End of Law. With Susan Deyhim et al. Brussels: Sub Rosa, 1998 (SR 154). Compact disc.  The Western Lands",E86
1017,". The Industrial Records Story. With Throbbing Gristle et al. [England]: Illuminated Records,   ...",E87
1018,". Island Holiday Sampler. With Melissa Ethridge et al. New York: Island Records, 1994  (PRCD 6900-2). Compact disc.",E88
1019,". Island Radio Holiday Sampler. With Elton John et al. New York: Island Records, 1995  (PRCD 7100-2). Compact disc.   120",E89
1020,". Klacto/23 Tape. Frankfurt: Klactoveedsedsteen, 1967. Cassette tape. {M&M G2}",E90
1021,". Like a Girl I Want You to Keep Coming. With Debbie Harry et al. New York: Giorno Poetry h illustrated inner sleeve; cassette; compact disc.     (Wichita Art Association Theatre, Wichita, Kansas; 10 April 1987)",E91
1022,". Minutes. With Louis Philippe et al. Edinburgh: Les Temps Modernes, 1987  (LTM       in a run of 2,000 copies, available only with Talk Talk magazine, Vol. 3, No. 56 [above] in September/O",E92
1023,". Minutes To Go! With the Anti Group et al. [N.p.]: Interior Music, 1987 (IM 001).",E93
1024,". The Mortal Micronotz Tribute. With Mopar Funeral et al. Lawrence, Kansas: Iconoclastic Pop Records, [1986?]; distributed by Dutch East India Trading and Twin Cities International (Iconoclastic Pop 002). Compact disc.  [with The Eudoras; see The Mortal Micronotz, above]",E94
1025,". Myths 1: Instructions. With Mark Stewart + Maffia et al.    (Ramona Records; Lawrence, Kansas; June 1983) A. Brussels: Sub Rosa, 1984 (Sub 33001-  Limited to 2,000 copies.  Mikriammos. B. Brussels: Sub Rosa, [n.d.] (Sub 33001-  Myths collectionoriginally available early october [sicJacket verso. C. Myths 1: Instructions for Survival. Brussels: Sub Rosa, [n.d.] (SR01). Compact disc.  T         121",E95
1026,". The Myths Collection.  sic] the major stages of the initial project [4 LPs and 3 EPs] in two hours. We are dealing with a complete reblending of the sound material at our disposal and the general design in view of a different mediumPart Two booklet, back page. A. Part One. With Mark Stewart + Maffia et al. Brussels: Sub Rosa, [1989?] (SUB CD 003-15). Compact disc, with booklet.  .With Martin Olson, electronics and percussion.  B. Part Two. With Steven Brown et al. Brussels: Sub Rosa, 1990 (SUB CD 009-32). Compact disc, with booklet.    -1960sBooklet, back page.",E96
1027,". The Nova Convention. With Terry Southern et al. New York: Giorno Poetry Systems, 1979 (GPS 014015; GPS 016Jacket; two cassette tapes.  Roosevelt After Inauguration      From The Gay Gun [published as The Place of Dead Roads  This Is Kim Carson [sic, i.e. Carsons]  Just Like the Collage of Any Currency       [with Brion Gysin et al.]",E97
1028,". One World Poetry. With Ed Sanders et al. Amsterdam: Milkyway Records; distribution for the United States by Giorno Poetry Systems Records, [1982?] (BF-211108-1; GPS 028029).  jacket.  -  1 in The Melkweg, Amsterdam ... Thanks to Open Studio Amsterdam for Paradiso recordings of ... William Burroughs ...Jacket verso.",E98
1029,". OUCinquième Saison: Complete Recordings. With Bernard Heidsieck et al. 1st ed. [Italy]: Alga Marghen, 2002 (15 Vocson 45). Four compact discs in LP-sized box, with inserts and book.  Limited to 1,signed original typewriter poem.T.p. verso of book.    [sic, i.e. V]",E99
1030,". OU Revue-Disque, [No.] 40-41. With I.A. de Silva, et al. Ingatestone, Essex, England: OU,   Issued with OU magazine, No. 40-41 [see Section C, above].  e record were issued in a separate white cover [with a tissue inner sleeve] ... [M&M]  sic  From  [see Section A, above].  ... tape recorded in New York, Feb. 14, 1965 ...       122",E100
1031,".  OU Revue-Disque, [No.] 42-43-44. With Ake Hodell, et al. Ingatestone, Essex: OU, [1973].   Issued with OU magazine, No. 42-43-44 [see Section C, above].  cked any Jacket [M&M]      From  [see Section A, above].   ... tape recorded in New York, Feb. 14, 1965 ...",E101
1032,". PLG Holiday Sampler. New York: PolyGram Records, 1993 (SACD 771). Compact disc.",E102
1033,". Revolutions Per Minute (The Art Record). With Jud Fine et al. New York: Ronald Feldman, jacket, with photo-illustrated gatefold insert.  tion of 500 (including a signed and numbered print created by each artist) and Regular Edition (including a pull out [sicJacket verso.",E103
1034,". The Sacred Sawdust Ring. With Paul and Graham [of Test Dept.] et al. London: Sawdust Communications, [1993] (SEED 1). Compact disc, with folded poster.  Limited to 888 copies.   [with Coco]",E104
1035,". September Songs: The Music of Kurt Weill. With Nick Cave et al. New York: Sony, 1997  (SK 63046). Compact disc.",E105
1036,". Smack My Crack. With Butthole Surfers et al. New York: Giorno Poetry Systems, 1987.   jacket, with illustrated inner sleeve (GPS 038); cassette tape (GPS 038c).  From The Western Land [sic, i.e. Lands]:  Words of Advice  Kim Like the Great Gatsby   (Caravan of Dreams; Fort Worth, Tex.; 11 September 1986)",E106
1037,". Songs in the Key of X. With Mark Snow et al. Burbank, Calif.: Warner Bros. Records, 1996.     A. (9-46079-2). Compact disc. B. X-Files Soundtrack",E107
1038,". Sonic Winter: A Rykodisc Sampler. With Morphine et al. [New York]: Rykodisc; manufactured by Festival Records (Australia), 1997 (PRD97/16). Compact disc, with insert (folded twice to create six panels).  sicwere compiled. Front.   Burroughs and Tomandandy)      123",E108
1039,". Step Right Up! With Tennessee Ernie Ford et al. [London]: MOJO, 2010 (MOJO 200). Compact disc, with folded cover insert.  MOJO Front.  MOJO July 2010 [(MOJO 200)]Back.",E109
1040,". Stoned Immaculate: The Music of The Doors. With Stone Temple Pilots et al. New York: Elektra, 2000 (PRCD-1547-2). Compact disc.  r, Ray Manzarek,  and John Densmore]",E110
1041,". Up From the Archives. With Gerard Malanga et al. Brussels: Sub Rosa, 1999 (Naïve AD073). Compact disc, with booklet.  ... ...",E111
1042,". Wild Words. With Henry Rollins et al. San Francisco: Cups Records, 1995. Compact disc.  Soul Killerwith Material]  From Seven Souls [see above].",E112
1043,"Waits, Tom. The Black Rider.    Songs written by Waits for the play written and directed by Robert Wilson and co-written by Burroughs. A. . New York: Island Records, 1993. Compact disc, with booklet (314-518-559-2);  cassette tape (314-518-559-4).  ... his text was the bundle this branch would swing from. His cut-up text and open process of finding a language for this story became a river of words for me to draw from in the lyrics for the [p. 3] of booklet.   Recorded in 1989 and 1993. B. ny]: Alka-Seltzer, 1992  C.  . [Germany]: Alka-Seltzer, 1999, (p) on black, red, or marbled light blue vinyl.   Jacket notes in German.  Recorded in 1989. Track order and some tracks different from (A) above.  D. The Black Rider. [N.p.]: Off Beat Records, [199x?] (XXCD 8). Compact disc.  Bootleg version of 1992 Alka-Seltzer release [above]?   Tracks 1-14 same as those on 1999 Alka-Seltzer release [above], but with mistakes in three track titles  [3, 6, 12].  [15-",E113
1044,"Yellow Magic Orchestra. Technodon. Tokyo: Toshiba-EMI, 1993 (TOCT 8010). Compact disc, with booklet.",E114
1045,"Zorn, John. Interzone. New York: Tzadik, 2010 (TZ 7387). Compact disc.  -century artists [Burroughs Obi strip. 124  F. VIDEO RECORDINGS",E115
