,description,work
1155,"Stevens, Matthew Levi and Emma Doeve, comps. and eds. William S. Burroughs & The Final Academy. [N.p.]: WhollyBooks, 2012. Softbound.",G83
1156,"Taaffe, Philip, and William S. Burroughs. Drawing Dialogue. Edited by Diego Cortez and James Grauerholz. New York: Pat Hearn Gallery, 1987. Softbound (no hardbound issued).  rpts from a dialogue made during a drawing collaboration recorded in Lawrence, Kansas, on 1 February 1987... . Published on the occasion of an exhibition of new paintings by Philip Taaffe at the Pat Hearn Gallery, Jacket.",G84
1157,"Takis. Evidence of the Unseen. Cambridge, Mass.: MIT Press, 1968. Softbound.  Catalogue 8 December 1968.   Includes untitled contribution by Burroughs.",G85
1158,".  Paris: Iris Clert Gallery, 1960. {M&M F1}  Catalogue accompanying exhibition.  opographical magnetic lines /",G86
1159,". Magnetic Sculpture. New York: Howard Wise Gallery, 1967. Softbound. {M&M F20}  Catalogue accompanying exhibition held 729 April 1967.",G87
1160,". Magnetic Sculpture and the White Signals. London: Indica Gallery, 1966. Softbound.  {M&M F15}  Catalogue accompanying exhibition held 25 NovemberDecember 1966, with texts by Takis, Burroughs, Marcel Duchamp, and Allen Ginsberg.",G88
1161,". Takis. Milan: Galleria Schwarz, 1962. Softbound. {M&M F5}  Catalogue accompanying exhibition.  Takis is working with and expressing /",G89
1162,". Takis: Telesculptures, Telephota, Telemagnets. New York: Alexander Iolas Gallery, 1963. Portfolio containing two prints.  Catalogue accompanying exhibition held October 15November 2, 1963.   /   141",G90
1163,"[Texts and Documents]. Rouen, France: Derrière la Salle de Bains, [1996].   Cellophane envelope containing 3 cream-colored cards (4x 5 inches); 3 brown- and 5 cream-colored sheets  (8½ x 11¾ inches, folded to 4¾ x 5inches); and 1 cream-colored sheet (8¼ x 5inches, folded to inches).  Includes:      [sic], 1954.     sic], Kali Yug Express   Open Fire",G91
1164,"Walker, Robert. New York Inside Out. Introduction by Burroughs. Toronto: Skyline Press, 1984. Hardbound in dustjacket.",G92
1165,"Weber, Bruce. An Exhibition by Bruce Weber at Fahey/Klein Gallery, Los Angeles, California, May, Nineteen Ninety-One and at Parco Exposure Gallery, Tokyo, May, Ninety-One. Text by Burroughs. 1st ed. Tokyo: Treville, 1991; distributed by Bulfinch Press. Softbound.   Burroughs text !accompanies Weber photographs.",G93
1166,"Weissner, Carl. The Braille Film. With a counterscript by William S. Burroughs. San Francisco: Nova Broadcast Press, 1970. Softbound.",G94
1167,"New York: KTO Inteleisure, 1985.]        Card, 9 x 13.7 cm.   Whoozit you try to identify pictures of famous people throughout history, then answer 2 of 3 questions about Arts & Literature,     http://boardgamegeek.com/boardgame/11626/whoozit [accessed 27 February 2015]  The three questions, on the verso, associat 1. WHOOZIT? 2. What is the title of his first novel? 3. From what college did he graduate in 1936?",G95
1168,"; 15) [N.p., n.d.] Card, 9.5 x 6.7 cm.",G96
1169,"[William S. Burroughs Memorial Service Materials]  Folding card announcement with xeroxed color photograph of Burroughs on Jacket[sic.5-x-11-inch double-sided sheet listing, on one side, the casket bearers, honorary cask",G97
1170,"Wilson, Robert, Tom Waits, and William S. Burroughs. The Black Rider: The Casting of the Magic Bullets.   Direction and set design by Wilson; music and lyrics by Waits; text by Burroughs.  See also Tom Waits entry in Section E above. A. German and English. Translated by Udo Breger and Wolfgang Wiens. Hamburg: Thalia Theater, 1990. Softbound.  Program accompanying the premiere (Uraufführung) of the theater production at the Thalia Theater.  Includes reproductions of 24 B&W drawings by Robert Wilson and four Burroughs paintings 142  B. (Encore Arts Program; Vol. 11, Issue 1; August-September 2004) Seattle: Encore Media Group, 2004. Softbound.  Program accompanying the theater production at the American Conservatory Theater in San Francisco.  on of The Black Rider, with English text, premiered at the Barbican Theatre (London) on May 21, 2004. The original production of The Black Rider, with German text, premiered at the Thalia Theater p. 11.",G98
1171,"Zero, Nos. 15-18 (March-April 2015; June-July 2015). Staplebound.  Comic book issues featuring Burroughs as a character (along with Allen Ginsberg). BFEP, No. 18.   143  H. BIOGRAPHY, INTERVIEWS, AND LETTERS",G99
